Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Turkey	Commercial_banks	2007	71438.059	45416.179	5813.113	8931.742	5768.714	3197.753	NA	NA	24648.434	27901.574	276250.027	161086.735	70016.568	66369.024	25.703	64808.301	356305.635	0	72394.675	30	8067	161930
Turkey	Commercial_banks	2008	86822.958	55978.726	4146.782	10792.895	8756.34	3018.154	NA	NA	41515.611	37544.365	355307.942	190771.076	81202.172	75184.213	112.117	84949.264	453072.24	0	93023.332	30	9231	176758
Turkey	Commercial_banks	2009	87033.834	44612.674	6346.078	11581.495	13399.32	4740.983	NA	NA	37221.246	42303.773	378389.748	259102.06	87114.604	97407.019	65.13	77825.39	513632.653	0	115201.239	30	9508	178313
US	Commercial_banks	1999	369174.291	176416.774	144228.585	205241.046	21336.678	39205.235	52616.142	18586.994	192341.896	173593.59	3445877.47	1320377.963	639016.413	478117.176	NA	189332.808	3159606.771	76740.762	1867409.817	8682	67281	1666724
US	Commercial_banks	2000	430401.692	226368.845	150664.649	217686.54	29390.969	37425.695	53003.287	17191.012	204446.533	161109.39	3769952.591	1403167.874	746555.375	529124.012	NA	218263.942	3454346.916	87439.165	1996057.728	8401	67807	1677457
US	Commercial_banks	2001	404474.646	189811.453	164231.08	225279.234	42782.426	36723.141	54479.707	19629.76	189731.564	198171.834	3850781.345	1505221.241	885937.804	596659.026	NA	112953.515	4223438.942	97474.763	1599317.463	8175	68773	1715484
US	Commercial_banks	2002	356627.19	122169.32	176895.422	233130.237	45830.667	43416.858	67886.865	21088.661	191887.395	189547.601	4092382.343	1766483.354	889857.635	647632.896	NA	133551.622	4508191.326	96619.141	1744163.276	7975	70571	1756260
US	Commercial_banks	2003	330480.171	94896.223	189017.921	243359.903	32739.216	48278.311	77987.025	22237.423	179246.283	201774.037	4296893.406	1906577.068	952472.988	679113.159	NA	151832.222	4767582.161	99073.895	1839362.241	7851	71860	1764229
US	Commercial_banks	2004	340552.07	96208.34	183635.587	254117.534	23501.926	48301.921	55885.842	46172.096	164077.721	219549.392	4781870.865	2055671.194	1135053.687	835423.351	NA	175853.2	5304094.15	109847.664	1931004.446	7701	74519	1819664
US	Commercial_banks	2005	430284.381	164267.408	198417.415	273492.148	25016.069	53370.155	64652.293	47903.723	203816.175	193380.768	5283777.35	2069756.63	1255071	899032.11	NA	217893.214	5811701.886	122236.763	1954937.923	7598	77086	1875296
US	Commercial_banks	2006	551791.056	265392.127	219761.113	294190.569	25478.25	60005.585	81095.005	45390.633	206338.753	226232.005	5937801.398	2319487.452	1474520.071	1035194.633	NA	311217.579	6397957.189	149794.691	2270215.541	7473	78561	1956539
US	Commercial_banks	2007	615060.075	310387.663	214732.452	318147.549	57124.297	43572.317	80735.491	19825.21	206227.534	276373.822	6565489.704	2490154.919	1712020.627	1147854.442	NA	329006.178	6926539.679	174904.85	2671961.455	7354	79692	1973033
US	Commercial_banks	2008	534224.789	212471.066	183807.96	336352.348	152656.545	6950.526	43760.675	-34158.411	663732.565	382507.699	6714643.162	2716266.686	1910460.651	1158026.888	NA	396329.458	7741621.446	183512.299	2908120.644	7153	81696	1962649
